protocol,length,src,dst
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,2
0,0.05364511691884457,2,2
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,2
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,2
0,0.05364511691884457,2,2
0,0.05364511691884457,2,6
0,0.05364511691884457,2,2
1,0.09559834938101788,1,3
0,0.0453920220082531,2,1
0,0.0453920220082531,2,1
0,0.0453920220082531,1,3
0,0.0453920220082531,1,3
0,0.0453920220082531,2,1
0,0.05364511691884457,2,2
0,0.05364511691884457,2,2
1,0.09559834938101788,3,3
0,0.0453920220082531,2,4
1,0.12310866574965612,2,5
1,0.07221458046767538,2,5
1,1.0,2,5
1,0.3947730398899587,2,5
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.05364511691884457,2,2
0,0.05364511691884457,2,6
0,0.05364511691884457,2,2
0,0.05364511691884457,2,2
0,0.05364511691884457,2,6
0,0.05364511691884457,2,6
0,0.0453920220082531,4,3
1,0.07221458046767538,4,3
0,0.0453920220082531,4,3
0,0.0453920220082531,4,3
0,0.0453920220082531,2,5
1,0.11348005502063274,4,3
0,0.0453920220082531,2,5
1,0.06946354883081156,2,5
0,0.037138927097661624,2,0
0,0.0453920220082531,0,3
